product_id,url,name,current_price,original_price,image,unit,in_stock
"B0FXXG536G","https://www.amazon.in/dp/B0FXXG536G","PetCrux Eco Clump Cat Litter 5Kg, 100% Natural Bentonite Odour Lock Lavender and Lemon Scented Clay, Dust Free, Single Pack (Pack of 2)","690.00","690.00","https://m.media-amazon.com/images/I/61LUKC+1XqL._SX450_PIbundle-2,TopRight,0,0_SX450SY300SH20_.jpg","10 kg","In Stock"
"B08NK264RY","https://www.amazon.in/dp/B08NK264RY","Petcrux Exclusive Scoopable Cat Litter Scooper (Cat Litter Scooper (Multicolor))","149.00","300","https://m.media-amazon.com/images/I/51BD014lSXL._SY450_.jpg","200 g","In Stock"
"B084DKGQTT","https://www.amazon.in/dp/B084DKGQTT","PetCrux Exclusive Cat Litter Tray Litter Tray - Pack of 2","721.00","1198","https://m.media-amazon.com/images/I/71eZGj7qt+L._SX450_PIbundle-2,TopRight,0,0_SX450SY219SH20_.jpg","500 g","In Stock"
"B0D98GGQXX","https://www.amazon.in/dp/B0D98GGQXX","Petcrux Cat Litter Mat, 15.7 * 23.6 inches/45 * 60cm Litter Mat Double Layer Open Edge Design, Waterproof EVA Material, Durable and Washable, Cats Litter Box, Cat Litter Tray (Black/Grey)","527.00","1099","https://m.media-amazon.com/images/I/71XUmqNBhSL._SY450_.jpg","280 g","In Stock"
"B0CZRXC358","https://www.amazon.in/dp/B0CZRXC358","Petcrux Chicken Liver Bits with Turmeric Dog Treats, 90g","138.00","138.00","https://m.media-amazon.com/images/I/61yrGPsrOQL._SY450_.jpg","90 g","Out of Stock"
"B0FXXJ8KWL","https://www.amazon.in/dp/B0FXXJ8KWL","Petcrux Adult Dog Food Chicken & Rice, Complete Balanced Food for Adult Dogs, 3Kg (Pack of 2)","798.00","798.00","https://m.media-amazon.com/images/I/71GUMBoQIBL._SX450_PIbundle-2,TopRight,0,0_SX450SY336SH20_.jpg","6 kg","In Stock"
"B0FBRW5FJT","https://www.amazon.in/dp/B0FBRW5FJT","Petcrux Oatmeal Dog Shampoo 200ml – Sulphate & Paraben Free - Oatmeal with Goodness of Coconut & Lime - for Golden Retrievers, Labradors, Shih Tzu, German Shepherds","153.05","300","https://m.media-amazon.com/images/I/51h47KJIqRL._SY450_.jpg","200 g","In Stock"
"B0F38G2R86","https://www.amazon.in/dp/B0F38G2R86","PetCrux Complete Care Kit Earthy Clump Natural Bentonite Clay Cat Litter 10kg 1 Cat Litter Tray and 1 Mat","1899.00","2500","https://m.media-amazon.com/images/I/71w0JM572eL._SY450_.jpg","11 kg","In Stock"
"B0F3CQSK1Y","https://www.amazon.in/dp/B0F3CQSK1Y","PetCrux Complete Kit Eco Clump Unscented Bentonite Clay Natural Ingredients Cat Litter 10kg 1 Cat Litter Tray and 1 Mat Combo for All Breeds of Cat","1949.00","2500","https://m.media-amazon.com/images/I/71mp7l-LalL._SY450_.jpg","11 kg","In Stock"
"B0F39L9C9W","https://www.amazon.in/dp/B0F39L9C9W","PetCrux Complete Care Kit Smart Clump Lavender Essential Oils Bentonite Clay Cat Litter 10kg 1 Cat Litter Tray and 1 Mat Combo for All Breeds of Cat","1799.00","2500","https://m.media-amazon.com/images/I/71wSGQXdlsL._SY450_.jpg","4.0 Count","In Stock"
"B0F31FSJ7Q","https://www.amazon.in/dp/B0F31FSJ7Q","PetCrux Eco Clump Cat Litter 10Kg and 1 Cat Litter Tray 100% Natural Bentonite Clay for All Breeds of Cats","1349.00","1500","https://m.media-amazon.com/images/I/61LtWx0blhL._SY450_.jpg","3.0 Count","In Stock"
"B0F38DL27V","https://www.amazon.in/dp/B0F38DL27V","PetCrux Complete Care Kit Eco Clump Natural Bentonite Clay Lemon Scented Cat Litter 10kg 1 Cat Litter Tray and 1 Mat Combo for All Breeds of Cat","1749.00","2500","https://m.media-amazon.com/images/I/71xtKr-unhL._SY450_.jpg","11 kg","In Stock"
"B0F31C9H6X","https://www.amazon.in/dp/B0F31C9H6X","PetCrux Eco Clump Lavender & Lemon Cat Litter 10Kg and 1 Cat Litter Tray 100% Natural Bentonite Clay for All Breeds of Cats","1349.00","1500","https://m.media-amazon.com/images/I/61LtWx0blhL._SY450_.jpg","3.0 Count","In Stock"
"B08Z8D8T61","https://www.amazon.in/dp/B08Z8D8T61","Petcrux Premium Pearl Millet (Bajra) Bird Food (2 Kg) for Pigeons, Doves, Canaries, Finches, Waxbills, Budgies, Lovebirds, Cockatiels, 2 kg Economic Pack (2 kg)","299.00","499","https://m.media-amazon.com/images/I/61vgH+l97HL._SY679_PIbundle-2,TopRight,0,0_SX475SY679SH20_.jpg","2 kg","In Stock"
"B0F38H3YPN","https://www.amazon.in/dp/B0F38H3YPN","PetCrux Essential Kit Eco Clump Natural Bentonite Clay Lemon Scented Cat Litter 10kg 1 Cat Litter Tray and 1 Scooper Combo for All Breeds of Cat","1749.00","2000","https://m.media-amazon.com/images/I/61Mh5goWDbL._SY450_.jpg","11 kg","In Stock"
"B0FN5WV5Y2","https://www.amazon.in/dp/B0FN5WV5Y2","PetCrux Smart Clump Cat Litter Inside | Pet Friendly Lavender Essential Oils | Dust Free (for Multiple Cats), 5kg (Pack of 2)","798.00","798.00","https://m.media-amazon.com/images/I/71NTS5ShYcL._SX450_PIbundle-2,TopRight,0,0_SX450SY225SH20_.jpg","10 kg","In Stock"
"B0CHWDB49D","https://www.amazon.in/dp/B0CHWDB49D","Petcrux Premium Pellet Turtle Food for All Life Stages Contains Fish (1 Kg Refill Pouch)","299.00","550","https://m.media-amazon.com/images/I/61Ulqu7iGKL._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","2 kg","In Stock"
"B0F393VN6W","https://www.amazon.in/dp/B0F393VN6W","PetCrux Essential Kit Eco Clump Unscented Bentonite Clay Natural Ingredients Cat Litter 10kg 1 Cat Litter Tray and 1 Scooper Combo for All Breeds of Cat","1449.00","2000","https://m.media-amazon.com/images/I/61sjHhNFh0L._SY450_.jpg","4.0 Count","In Stock"
"B0FXXDLJHP","https://www.amazon.in/dp/B0FXXDLJHP","PetCrux Earthy Clump Cat Litter | Natural Bentonite Clay | Lavender Scented| Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 5kg (Pack of 3)","897.00","897.00","https://m.media-amazon.com/images/I/51Ak3ox8P4L._SY450_PIbundle-3,TopRight,0,0_AA450SH20_.jpg","15 kg","In Stock"
"B0D9BPYZ5W","https://www.amazon.in/dp/B0D9BPYZ5W","Petcrux Cat Steam Brush, Dog Steam Brush, Steam Brush for Cats and Dogs, 3 In 1 Steamy Pet Brush, Steaming Pet Hair Brush, Cat and Dog Comb with Steam, Pet Grooming Brush for Cats","317.02","699","https://m.media-amazon.com/images/I/71jjP1WqupL._SY450_.jpg","83 g","In Stock"
"B0D8BP54TS","https://www.amazon.in/dp/B0D8BP54TS","Petcrux Aquarium/Fish Tank Bar Air Stone, 6 inch | Hydroponic Systems Bubble Air Stone Line","119.34","200","https://m.media-amazon.com/images/I/21cvt0VzgBL._SY450_.jpg","100 g","In Stock"
