name,unit,current_price,original_price,discount,in_stock,image
"Pepe Jeans Men Boxer - CLLB02 Black - XL","1 XL","449","899","50% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/9ea439f3-6655-4a3a-94a4-9a56d8f6efb8_275193_1.png"
"Pepe Jeans Premium Enriched Cotton Grey Melange Shorts- ATS01 - S","1 S","599","1199","50% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/06e4af03-af70-4909-8867-371675a2de98_162309_1.png"
"Pepe Jeans Men Trunk (Egyptian Cotton Mid -Rise, Solid) Grey Melange - S","1 Small","329","NA","NA","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/3/5/390aa076-95de-4bb8-8cfc-a0dbe237615b_FashionClothing_A29PHDGG52_MN.png"
"Pepe Jeans Multicolour Socks (Unisex, 3 Pair)","6 pack","599","1099","45% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/8/13/e4eb788d-d6bc-4793-979e-c38a7cd1c504_90927_1.png"
"Pepe Jeans Premium Cotton Lace Camisole White - S","1 Small","419","499","16% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/12/c1a62469-b203-4cbe-b222-ac8742fe4e16_219374_1.png"
"Pepe Jeans Premium Enriched Cotton Navy Shorts - ATS01 - M","1 Medium","599","1199","50% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/82835d27-bfe2-42d3-9a09-a1e38b8582cc_107298_1.png"
"Pepe Jeans Trunk (Egyptian Cotton, Solid, Pack of 1) Black - L","1 Large","329","NA","NA","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/da254679-cf89-4ca1-a57d-f84365fc49e4_49687_1.png"
"Pepe Jeans Men's Classic Blue Brief with Ultrasoft waistband - CLB02 -02 - XXL","2 XXL","419","499","16% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/14796628-93a7-480a-9ead-a33edd7032e9_111543_1.png"
"Pepe Jeans Premium Kids Wear Bow Combo Ksc01 7-10 Yr","1 x Age (7-10) Years","344","499","31% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/24/12b2d1ab-7b19-43f5-8f5a-b7605af5c11d_187570_1.png"
"Pepe Jeans Black Trunk Soft & Comfortable - PPT01 - L","1 Large","399","499","20% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/5a3eadff-cd7b-43be-9586-a215edde7367_317919_1.png"
"Pepe Jeans Phantom Black Men Track Pants (Solid) - M","1 M","849","1899","55% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/b20ba4bf-967a-4a29-b9b9-6d5681e48df2_162762_1.png"
