product_id,asin,name,unit,current_price,original_price,in_stock,image,url
"524960","524960","Pepe Jeans Innerfashion Premium Egypian Cotton Trunks (Black)","1 unit","469","479","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/c58ec515-6a5f-4103-9262-969d47db16aa.png","https://blinkit.com/prn/pepe-jeans-innerfashion-premium-egypian-cotton-trunks-black/prid/524960"
"524963","524963","Pepe Jeans Innerfashion Premium Egyptian Cotton Men's Vest (White)","1 pack (2 pieces)","609","649","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/497b8e2e-7f03-472f-b40c-20bfcdffd2b9.png","https://blinkit.com/prn/pepe-jeans-innerfashion-premium-egyptian-cotton-mens-vest-white/prid/524963"
"524995","524995","Pepe Jeans Innerfashion Premium Modal Men's Trunks (Black)","1 unit","449","499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/f0ef5d9b-3964-4d6e-bc5b-30f8eed3604b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-premium-modal-mens-trunks-black/prid/524995"
"698417","698417","Pepe Jeans Innerfashion Premium Solid Quick Dry Men's T-Shirt (Green)","1 unit","799","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/e28374a08268429bab7d5ef7120dffba.png","https://blinkit.com/prn/pepe-jeans-innerfashion-premium-solid-quick-dry-mens-tshirt-green/prid/698417"
"698389","698389","Pepe Jeans Innerfashion Premium Solid Quick Dry Men's T-Shirt (Grey)","1 unit","799","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/8fa123d4-5c1e-448c-bd2b-630290a3053b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-premium-solid-quick-dry-mens-tshirt-grey/prid/698389"
"698449","698449","Pepe Jeans Innerfashion Printed Men's Boxers (Blue)","1 unit","399","549","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/7bd5dcb0-945c-4118-ad96-3d3301c8ea21.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-mens-boxers-blue/prid/698449"
"535342","535342","Pepe Jeans Innerfashion Printed Men's Boxers (Dark Grey)","1 unit","499","549","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/9bc8c0d4-bedf-4199-b944-fe2bad7a512b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-mens-boxers-dark-grey/prid/535342"
"535336","535336","Pepe Jeans Innerfashion Printed Men's Boxers (Rumba Red)","1 unit","499","549","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/337d2852-4254-4824-bb41-f330a841201a.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-mens-boxers-rumba-red/prid/535336"
"698466","698466","Pepe Jeans Innerfashion Printed Men's Trunks (Alloy Grey)","1 unit","299","399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/f6bcda3c-74f3-4154-aa40-ada9b3b78621.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-mens-trunks-alloy-grey/prid/698466"
"698379","698379","Pepe Jeans Innerfashion Printed Men's Trunks (Parry Red)","1 unit","299","399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/560b4489-9e5f-4ec3-99e5-85de0c94524e.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-mens-trunks-parry-red/prid/698379"
"722878","722878","Pepe Jeans Innerfashion Printed Women's Sleepwear Set (Beige & Green)","1 set","1599","2499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/0ba0473d-981f-419a-9fd9-f6930f087eb5.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-womens-sleepwear-set-beige-and-green/prid/722878"
